post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49479872,Army Awards $2.2B for 'Microreactors' On U.S. Bases,worldnews,19,3,lxm,2026-08-30 22:09:35.688205,0.15,False
49435495,"Otto Dix, Nietzsche, and the Great War (2019)",worldnews,42,28,samizdis,2026-08-30 22:09:35.688205,0.6511627906976745,False
49497819,An implementation of Conway's Game of Life for Windows 3.1x and later,sports,32,4,Bluestein,2026-08-30 22:09:37.693018,0.12121212121212122,False
49499924,12TB Steam leak reveals unseen Half-Life 2: Episode 3 builds,sports,5,0,sbulaev,2026-08-30 22:09:37.693018,0.0,False
49456819,Europe's last regular standard-gauge steam passenger service,sports,112,26,GungulSurm,2026-08-30 22:09:37.693018,0.23008849557522124,False
49489968,SteamOS 3.9.0 Preview,sports,41,25,EspadaV9,2026-08-30 22:09:37.696788,0.5952380952380952,False
49466006,Decompiling a Nintendo 64 game in 84 days,sports,268,182,knackers,2026-08-30 22:09:37.696788,0.6765799256505576,True
49422784,The entire city of San Francisco as a video game,sports,610,172,centrosphere,2026-08-30 22:09:37.696788,0.281505728314239,True
49477217,"Show HN: Texttile, a multiplayer blog engine for people who write together",sports,13,3,klausbreyer,2026-08-30 22:09:37.696788,0.21428571428571427,False
49463464,Two Alleged 'TeamPCP' Hackers Arrested in Australia,sports,20,2,hacb,2026-08-30 22:09:37.698795,0.09523809523809523,False
49490870,Nancy Grace Roman Space Telescope,science,262,92,JumpCrisscross,2026-08-30 22:09:39.708993,0.34980988593155893,True
49486172,Our decision on Cursor following its acquisition by SpaceX,science,825,516,meetpateltech,2026-08-30 22:09:39.708993,0.6246973365617433,True
49481455,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,science,119,40,stephenchung,2026-08-30 22:09:39.708993,0.3333333333333333,False
49493244,What we want is a hunter gatherer lifestyle with space age tools (2022),science,78,88,bilsbie,2026-08-30 22:09:39.708993,1.1139240506329113,False
49477925,Interactive pattern discovery in binaries (FF-16-TUI),science,30,3,HexLasso,2026-08-30 22:09:39.708993,0.0967741935483871,False
49420530,Peppermint oil reduces blood pressure by 8.48 mmHg in small study,science,231,108,brandonb,2026-08-30 22:09:39.708993,0.46551724137931033,True
49466989,Why HPSC Is a Big Deal for Space Exploration,science,27,8,mooreds,2026-08-30 22:09:39.708993,0.2857142857142857,False
49467699,Compromising Signal's Contact Discovery Enclave (SGX),science,12,4,RobLach,2026-08-30 22:09:39.708993,0.3076923076923077,False
49438865,"Show HN: I missed the moving blocks, so I built a real Linux disk defragmenter",entertainment,76,62,gbin,2026-08-30 22:09:41.713168,0.8051948051948052,False
49497227,Show HN: Bolnee-Chat – Self Hosted Chatbot Integration in Your Business Website,entertainment,31,0,AniketWathore,2026-08-30 22:09:41.713168,0.0,False
49497500,"Show HN: Drop a SQL schema, get an interactive ER diagram",entertainment,6,2,PatuDev,2026-08-30 22:09:41.713168,0.2857142857142857,False
49447178,Show HN: Typebase – A single-folder back end you write in TypeScript,entertainment,111,30,andrewww-dev,2026-08-30 22:09:41.713168,0.26785714285714285,False
49497217,Memo to Ridley Scott: no one needs more Alien: Covenant movies,entertainment,14,11,dtnm,2026-08-30 22:09:41.713168,0.7333333333333333,False
49476894,Show HN: SubSmith – Turn your own videos into language-learning material,entertainment,74,51,IbrahimF96,2026-08-30 22:09:41.713168,0.68,False
49461817,Show HN: The load-bearing vocabulary of Claude,entertainment,689,321,Labo333,2026-08-30 22:09:41.713168,0.4652173913043478,True
49483038,"Show HN: Sesame - a local-first, open-source password manager",entertainment,63,84,d0mkaaa,2026-08-30 22:09:41.713168,1.3125,False
49428343,"Box of 300 Love Letters Showed Up, What Whimsical WWII Soldier Who Wrote Them?",entertainment,40,8,gmays,2026-08-30 22:09:41.713168,0.1951219512195122,False
49491755,Show HN: Flint – A minimal C/C++ package manager and build tool written in C,entertainment,12,2,mbhatt99,2026-08-30 22:09:41.713168,0.15384615384615385,False
49471965,"Show HN: OpenTIE and OpenXWA, Modern Ports of Tie Fighter and X-Wing Alliance",entertainment,224,57,elyosh,2026-08-30 22:09:41.713168,0.25333333333333335,True
49491968,Show HN: PhpEZ – A tiny PHP framework for shared LAMP hosting,entertainment,10,2,qcfe,2026-08-30 22:09:41.713168,0.18181818181818182,False
49466704,"Show HN: Watches user sessions, finds bugs that matter, and fixes them",entertainment,40,11,aray07,2026-08-30 22:09:41.713168,0.2682926829268293,False
49471407,Show HN: We built open OpenRouter that turns usage into a better model,entertainment,220,46,SilenN,2026-08-30 22:09:41.713168,0.2081447963800905,True
49489682,"Show HN: The impact that made the Moon, 262k particles in a browser tab",entertainment,10,9,gaploid,2026-08-30 22:09:41.713168,0.8181818181818182,False
49452037,Show HN: Build your own theme park,entertainment,57,25,thealexanderlee,2026-08-30 22:09:41.713168,0.43103448275862066,False
49492298,Breaking persistent undo shows Neovim can't be trusted,entertainment,17,2,hoorible,2026-08-30 22:09:41.713168,0.1111111111111111,False
49418813,Review: Chuwi's $449 Unibook laptop is a funhouse-mirror MacBook Neo,entertainment,57,40,rbanffy,2026-08-30 22:09:41.713168,0.6896551724137931,False
49468816,Show HN: Voronoi Go,entertainment,155,26,igpay,2026-08-30 22:09:41.713168,0.16666666666666666,True
49481956,Show HN: Blast – Open-source sandbox-as-a-service,entertainment,11,0,calebhwin,2026-08-30 22:09:41.713168,0.0,False
49467551,"Show HN: My Claude quota ran out in 10 minutes, so I made a tool to find out why",entertainment,88,67,sachinneravath,2026-08-30 22:09:41.713168,0.7528089887640449,False
49445286,Show HN: Buslens – where can I get to by bus? (UK),entertainment,83,55,RobinL,2026-08-30 22:09:41.713168,0.6547619047619048,False
49488996,Show HN: Qwiksi a CLI tool for adding your signature to a PDFs,entertainment,9,0,krisraven,2026-08-30 22:09:41.713168,0.0,False
49465291,Show HN: Restoredrill – proves your Postgres backups restore,entertainment,49,23,ahmadpiran,2026-08-30 22:09:41.713168,0.46,False
49464459,Show HN: RealDiff – runtime behavior diffing for pull requests (six languages),entertainment,40,10,issacnitin,2026-08-30 22:09:41.713168,0.24390243902439024,False
